      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.038   0.005   0.037   0.002   0.051   0.089   1.157   1.379
  -121.15    38.73    1951   0.053   0.004   0.008   0.002   0.047   0.079   1.151   1.345
  -121.15    38.73    1952   0.054   0.006   0.013   0.001   0.045   0.068   1.110   1.298
  -121.15    38.73    1953   0.060   0.002   0.005   0.002   0.046   0.062   1.083   1.261
  -121.15    38.73    1954   0.077   0.002   0.002   0.002   0.047   0.053   1.045   1.228
  -121.15    38.73    1955   0.071   0.002   0.004   0.003   0.055   0.046   1.010   1.191
  -121.15    38.73    1956   0.075   0.001   0.003   0.002   0.054   0.039   0.971   1.146
  -121.15    38.73    1957   0.062   0.002   0.004   0.002   0.056   0.033   0.935   1.095
  -121.15    38.73    1958   0.063   0.003   0.006   0.002   0.055   0.029   0.903   1.061
  -121.15    38.73    1959   0.062   0.005   0.011   0.002   0.054   0.026   0.874   1.035
  -121.15    38.73    1960   0.059   0.004   0.008   0.002   0.053   0.026   0.850   1.002
  -121.15    38.73    1961   0.056   0.010   0.024   0.002   0.052   0.025   0.825   0.995
  -121.15    38.73    1962   0.048   0.005   0.011   0.003   0.051   0.030   0.819   0.966
  -121.15    38.73    1963   0.055   0.003   0.006   0.003   0.050   0.030   0.804   0.950
  -121.15    38.73    1964   0.061   0.007   0.014   0.003   0.051   0.028   0.782   0.947
  -121.15    38.73    1965   0.055   0.068   0.354   0.002   0.050   0.030   0.765   1.323
  -121.15    38.73    1966   0.038   0.004   0.011   0.001   0.045   0.083   1.077   1.261
  -121.15    38.73    1967   0.040   0.003   0.008   0.002   0.042   0.073   1.047   1.216
  -121.15    38.73    1968   0.067   0.130   0.316   0.002   0.041   0.064   1.019   1.638
  -121.15    38.73    1969   0.034   0.005   0.008   0.002   0.046   0.166   1.285   1.545
  -121.15    38.73    1970   0.035   0.005   0.007   0.002   0.041   0.131   1.231   1.450
  -121.15    38.73    1971   0.092   0.003   0.004   0.001   0.038   0.113   1.192   1.444
  -121.15    38.73    1972   0.069   0.001   0.001   0.004   0.050   0.097   1.153   1.374
  -121.15    38.73    1973   0.093   0.004   0.006   0.001   0.049   0.077   1.099   1.328
  -121.15    38.73    1974   0.092   0.005   0.007   0.002   0.058   0.066   1.058   1.289
  -121.15    38.73    1975   0.089   0.005   0.007   0.003   0.065   0.058   1.025   1.252
  -121.15    38.73    1976   0.082   0.001   0.002   0.001   0.062   0.049   0.981   1.180
  -121.15    38.73    1977   0.073   0.006   0.024   0.003   0.065   0.042   0.946   1.158
  -121.15    38.73    1978   0.069   0.007   0.030   0.003   0.064   0.040   0.933   1.146
  -121.15    38.73    1979   0.061   0.008   0.012   0.004   0.064   0.040   0.931   1.121
  -121.15    38.73    1980   0.058   0.010   0.020   0.003   0.061   0.040   0.909   1.101
  -121.15    38.73    1981   0.054   0.007   0.015   0.002   0.056   0.042   0.893   1.070
  -121.15    38.73    1982   0.064   0.007   0.013   0.001   0.050   0.040   0.867   1.042
  -121.15    38.73    1983   0.068   0.008   0.032   0.004   0.053   0.040   0.852   1.056
  -121.15    38.73    1984   0.058   0.006   0.015   0.003   0.052   0.040   0.850   1.022
  -121.15    38.73    1985   0.053   0.005   0.035   0.003   0.051   0.038   0.834   1.019
  -121.15    38.73    1986   0.061   0.008   0.018   0.001   0.046   0.035   0.830   0.999
  -121.15    38.73    1987   0.056   0.009   0.016   0.002   0.045   0.035   0.814   0.976
  -121.15    38.73    1988   0.056   0.006   0.013   0.003   0.046   0.037   0.801   0.961
  -121.15    38.73    1989   0.051   0.006   0.018   0.002   0.045   0.036   0.784   0.943
  -121.15    38.73    1990   0.049   0.008   0.025   0.002   0.043   0.035   0.771   0.933
  -121.15    38.73    1991   0.049   0.009   0.057   0.001   0.040   0.035   0.762   0.953
  -121.15    38.73    1992   0.051   0.011   0.058   0.002   0.039   0.038   0.789   0.988
  -121.15    38.73    1993   0.052   0.003   0.007   0.002   0.039   0.041   0.815   0.959
  -121.15    38.73    1994   0.059   0.004   0.007   0.003   0.040   0.037   0.793   0.942
  -121.15    38.73    1995   0.054   0.004   0.009   0.003   0.042   0.035   0.770   0.916
  -121.15    38.73    1996   0.051   0.005   0.009   0.002   0.041   0.032   0.750   0.891
  -121.15    38.73    1997   0.052   0.013   0.037   0.002   0.039   0.031   0.728   0.903
  -121.15    38.73    1998   0.052   0.100   0.351   0.002   0.038   0.037   0.734   1.314
  -121.15    38.73    1999   0.034   0.010   0.023   0.001   0.037   0.117   1.042   1.264
  -121.15    38.73    2000   0.034   0.001   0.002   0.002   0.034   0.099   1.016   1.187
  -121.15    38.73    2001   0.064   0.005   0.007   0.001   0.031   0.083   0.980   1.172
  -121.15    38.73    2002   0.077   0.103   0.166   0.001   0.034   0.070   0.941   1.392
  -121.15    38.73    2003   0.057   0.002   0.008   0.002   0.042   0.147   1.065   1.324
  -121.15    38.73    2004   0.054   0.004   0.006   0.002   0.042   0.114   1.025   1.248
  -121.15    38.73    2005   0.079   0.002   0.002   0.001   0.041   0.097   0.988   1.209
  -121.15    38.73    2006   0.071   0.009   0.028   0.003   0.047   0.081   0.951   1.188
  -121.15    38.73    2007   0.080   0.003   0.007   0.002   0.048   0.073   0.936   1.148
  -121.15    38.73    2008   0.067   0.006   0.009   0.003   0.053   0.063   0.908   1.108
  -121.15    38.73    2009   0.068   0.012   0.025   0.001   0.047   0.054   0.868   1.075
  -121.15    38.73    2010   0.065   0.011   0.017   0.002   0.048   0.054   0.858   1.054
  -121.15    38.73    2011   0.057   0.014   0.058   0.001   0.045   0.052   0.832   1.058
  -121.15    38.73    2012   0.059   0.001   0.001   0.002   0.043   0.055   0.856   1.017
  -121.15    38.73    2013   0.051   0.006   0.008   0.001   0.041   0.044   0.819   0.972
  -121.15    38.73    2014   0.050   0.007   0.020   0.001   0.038   0.040   0.789   0.945
  -121.15    38.73    2015   0.053   0.008   0.034   0.001   0.035   0.038   0.773   0.943
  -121.15    38.73    2016   0.052   0.006   0.010   0.001   0.034   0.037   0.770   0.910
  -121.15    38.73    2017   0.065   0.127   0.134   0.001   0.033   0.035   0.747   1.142
  -121.15    38.73    2018   0.040   0.007   0.041   0.002   0.036   0.138   0.844   1.107
  -121.15    38.73    2019   0.037   0.007   0.028   0.001   0.032   0.106   0.841   1.052
  -121.15    38.73    2020   0.067   0.007   0.022   0.001   0.030   0.094   0.836   1.057
  -121.15    38.73    2021   0.053   0.006   0.023   0.002   0.035   0.083   0.824   1.026
  -121.15    38.73    2022   0.058   0.013   0.059   0.001   0.035   0.071   0.808   1.045
  -121.15    38.73    2023   0.051   0.008   0.039   0.002   0.037   0.070   0.835   1.043
  -121.15    38.73    2024   0.057   0.003   0.011   0.001   0.034   0.062   0.834   1.003
  -121.15    38.73    2025   0.054   0.002   0.004   0.002   0.036   0.053   0.808   0.958
  -121.15    38.73    2026   0.058   0.004   0.023   0.001   0.034   0.043   0.775   0.939
  -121.15    38.73    2027   0.052   0.003   0.015   0.001   0.034   0.038   0.764   0.908
  -121.15    38.73    2028   0.043   0.002   0.011   0.001   0.033   0.033   0.745   0.869
