      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   0.837   1.444   3.889     6.170
  -121.15    38.73    1951   0.870   1.417   3.877     6.164
  -121.15    38.73    1952   0.956   1.357   3.865     6.179
  -121.15    38.73    1953   1.104   1.322   3.855     6.281
  -121.15    38.73    1954   1.239   1.292   3.844     6.374
  -121.15    38.73    1955   1.261   1.264   3.841     6.366
  -121.15    38.73    1956   1.276   1.228   3.832     6.336
  -121.15    38.73    1957   1.290   1.168   3.829     6.287
  -121.15    38.73    1958   1.345   1.137   3.822     6.304
  -121.15    38.73    1959   1.354   1.105   3.816     6.275
  -121.15    38.73    1960   1.380   1.074   3.806     6.260
  -121.15    38.73    1961   1.298   1.064   3.799     6.162
  -121.15    38.73    1962   1.366   1.032   3.793     6.191
  -121.15    38.73    1963   1.530   1.014   3.788     6.332
  -121.15    38.73    1964   1.457   1.014   3.782     6.254
  -121.15    38.73    1965   0.931   1.400   3.773     6.104
  -121.15    38.73    1966   0.963   1.309   3.766     6.038
  -121.15    38.73    1967   1.034   1.256   3.754     6.045
  -121.15    38.73    1968   0.599   1.713   3.743     6.055
  -121.15    38.73    1969   0.658   1.580   3.747     5.985
  -121.15    38.73    1970   0.895   1.482   3.734     6.110
  -121.15    38.73    1971   0.889   1.528   3.723     6.140
  -121.15    38.73    1972   1.007   1.437   3.738     6.182
  -121.15    38.73    1973   1.144   1.391   3.730     6.264
  -121.15    38.73    1974   1.314   1.353   3.730     6.397
  -121.15    38.73    1975   1.278   1.328   3.734     6.340
  -121.15    38.73    1976   1.308   1.259   3.732     6.298
  -121.15    38.73    1977   1.353   1.230   3.738     6.320
  -121.15    38.73    1978   1.330   1.217   3.739     6.286
  -121.15    38.73    1979   1.322   1.197   3.743     6.262
  -121.15    38.73    1980   1.265   1.179   3.744     6.187
  -121.15    38.73    1981   1.403   1.133   3.742     6.278
  -121.15    38.73    1982   1.546   1.100   3.729     6.375
  -121.15    38.73    1983   1.468   1.124   3.729     6.321
  -121.15    38.73    1984   1.447   1.094   3.727     6.269
  -121.15    38.73    1985   1.530   1.078   3.727     6.334
  -121.15    38.73    1986   1.522   1.062   3.712     6.296
  -121.15    38.73    1987   1.579   1.033   3.706     6.318
  -121.15    38.73    1988   1.564   1.020   3.702     6.287
  -121.15    38.73    1989   1.548   1.007   3.697     6.252
  -121.15    38.73    1990   1.545   0.990   3.690     6.225
  -121.15    38.73    1991   1.576   1.008   3.678     6.262
  -121.15    38.73    1992   1.586   1.041   3.671     6.298
  -121.15    38.73    1993   1.718   1.013   3.664     6.395
  -121.15    38.73    1994   1.711   0.995   3.660     6.366
  -121.15    38.73    1995   1.705   0.975   3.655     6.335
  -121.15    38.73    1996   1.746   0.951   3.651     6.348
  -121.15    38.73    1997   1.620   0.959   3.643     6.223
  -121.15    38.73    1998   1.225   1.381   3.635     6.242
  -121.15    38.73    1999   1.244   1.306   3.633     6.183
  -121.15    38.73    2000   1.381   1.231   3.627     6.239
  -121.15    38.73    2001   1.476   1.242   3.620     6.337
  -121.15    38.73    2002   1.295   1.466   3.621     6.381
  -121.15    38.73    2003   1.296   1.383   3.632     6.310
