      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est    Seed  HarvestPrescribed    LU_ch   Slow_h       NEE
  -121.15    38.73    1993  -0.221   0.023   0.187   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.01250
  -121.15    38.73    1994  -0.173   0.017   0.203   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.04646
  -121.15    38.73    1995  -0.245   0.024   0.202   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.01975
  -121.15    38.73    1996  -0.228   0.023   0.204   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.00064
  -121.15    38.73    1997  -0.142   0.014   0.192   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.06256
  -121.15    38.73    1998  -0.366   0.037   0.183   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.14704
  -121.15    38.73    1999  -0.171   0.017   0.170   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01603
  -121.15    38.73    2000  -0.221   0.022   0.200   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.00019
  -121.15    38.73    2001  -0.174   0.017   0.181   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02454
  -121.15    38.73    2002  -0.189   0.019   0.179   0.000  -0.003   0.000    0.000     0.000    0.000    0.000   0.00595
  -121.15    38.73    2003  -0.174   0.017   0.168   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01144
  -121.15    38.73    2004  -0.131   0.013   0.175   0.000  -0.007   0.000    0.000     0.000    0.000    0.000   0.04993
  -121.15    38.73    2005  -0.316   0.032   0.178   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.10557
  -121.15    38.73    2006  -0.184   0.018   0.164   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00221
  -121.15    38.73    2007  -0.140   0.014   0.160   0.000  -0.003   0.000    0.000     0.000    0.000    0.000   0.03078
  -121.15    38.73    2008  -0.031   0.004   0.146   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.11915
  -121.15    38.73    2009  -0.154   0.015   0.170   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.02907
  -121.15    38.73    2010  -0.285   0.029   0.156   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.10050
  -121.15    38.73    2011  -0.344   0.034   0.152   0.000  -0.004   0.000    0.000     0.000    0.000    0.000  -0.16178
  -121.15    38.73    2012  -0.134   0.014   0.155   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03437
  -121.15    38.73    2013  -0.143   0.014   0.160   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.03090
  -121.15    38.73    2014  -0.142   0.014   0.168   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.03902
  -121.15    38.73    2015  -0.138   0.014   0.191   0.000  -0.003   0.000    0.000     0.000    0.000    0.000   0.06428
  -121.15    38.73    2016  -0.161   0.016   0.180   0.000  -0.107   0.000    0.000     0.000    0.000    0.000  -0.07149
  -121.15    38.73    2017  -0.350   0.036   0.150   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.16403
  -121.15    38.73    2018  -0.283   0.028   0.183   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.07193
  -121.15    38.73    2019  -0.346   0.035   0.179   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.13283
  -121.15    38.73    2020  -0.115   0.012   0.187   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08334
  -121.15    38.73    2021  -0.082   0.008   0.174   0.000  -0.003   0.000    0.000     0.000    0.000    0.000   0.09715
  -121.11    38.85    1979  -0.211   0.022   0.250   0.000  -0.006   0.000    0.000     0.000    0.000    0.000   0.05490
  -121.11    38.85    1980  -0.309   0.031   0.236   0.000  -0.110   0.000    0.000     0.000    0.000    0.000  -0.15234
  -121.11    38.85    1981  -0.240   0.025   0.227   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.01242
  -121.11    38.85    1982  -0.426   0.043   0.283   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.10013
  -121.11    38.85    1983  -0.384   0.038   0.234   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.11133
  -121.11    38.85    1984  -0.312   0.031   0.247   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03403
  -121.11    38.85    1985  -0.260   0.026   0.233   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00081
  -121.11    38.85    1986  -0.220   0.022   0.309   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.11118
  -121.11    38.85    1987  -0.087   0.010   0.283   0.000  -0.106   0.000    0.000     0.000    0.000    0.000   0.09989
  -121.11    38.85    1988  -0.206   0.021   0.267   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08238
  -121.11    38.85    1989  -0.372   0.037   0.294   0.000  -0.003   0.000    0.000     0.000    0.000    0.000  -0.04355
  -121.11    38.85    1990  -0.344   0.035   0.271   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03919
  -121.11    38.85    1991  -0.285   0.029   0.257   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.00050
  -121.11    38.85    1992  -0.158   0.016   0.262   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.12047
  -121.11    38.85    1993  -0.298   0.030   0.259   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00928
  -121.11    38.85    1994  -0.178   0.018   0.232   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07257
  -121.11    38.85    1995  -0.243   0.024   0.297   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07740
  -121.11    38.85    1996  -0.214   0.021   0.270   0.000  -0.093   0.000    0.000     0.000    0.000    0.000  -0.01578
  -121.11    38.85    1997  -0.223   0.023   0.219   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01834
  -121.11    38.85    1998  -0.373   0.037   0.251   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.08428
  -121.11    38.85    1999  -0.295   0.030   0.229   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03738
  -121.11    38.85    2000  -0.310   0.031   0.256   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.02240
  -121.11    38.85    2001  -0.236   0.024   0.273   0.182  -0.000   0.000    0.000     0.000    0.000    0.000   0.24169
  -121.11    38.85    2002  -0.232   0.023   0.247   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03800
  -121.11    38.85    2003  -0.232   0.023   0.255   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04651
  -121.11    38.85    2004  -0.144   0.015   0.295   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.16524
  -121.11    38.85    2005  -0.247   0.025   0.290   0.000  -0.104   0.000    0.000     0.000    0.000    0.000  -0.03677
  -121.11    38.85    2006  -0.281   0.029   0.254   0.000  -0.022   0.000    0.000     0.000    0.000    0.000  -0.01924
  -121.11    38.85    2007  -0.316   0.032   0.263   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.02079
  -121.11    38.85    2008  -0.254   0.025   0.245   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01613
  -121.11    38.85    2009  -0.266   0.027   0.274   0.000  -0.006   0.000    0.000     0.000    0.000    0.000   0.02885
  -121.11    38.85    2010  -0.372   0.037   0.262   0.000  -0.006   0.000    0.000     0.000    0.000    0.000  -0.07944
  -121.11    38.85    2011  -0.395   0.039   0.254   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.10176
  -121.11    38.85    2012  -0.191   0.020   0.260   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08850
  -121.11    38.85    2013  -0.187   0.019   0.250   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08163
  -121.11    38.85    2014  -0.223   0.022   0.257   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05634
  -121.11    38.85    2015  -0.214   0.021   0.238   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04529
  -121.11    38.85    2016  -0.259   0.026   0.252   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01889
  -121.11    38.85    2017  -0.335   0.034   0.256   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.04567
  -121.11    38.85    2018  -0.294   0.029   0.238   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.02636
  -121.11    38.85    2019  -0.329   0.033   0.243   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.05371
  -121.11    38.85    2020  -0.184   0.019   0.248   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08241
  -121.11    38.85    2021  -0.139   0.014   0.229   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.10398
  -121.11    38.81    1979  -0.205   0.021   0.237   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05232
  -121.11    38.81    1980  -0.266   0.027   0.190   0.000  -0.108   0.000    0.000     0.000    0.000    0.000  -0.15733
  -121.11    38.81    1981  -0.137   0.015   0.178   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05650
  -121.11    38.81    1982  -0.391   0.039   0.259   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.09301
  -121.11    38.81    1983  -0.372   0.037   0.202   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.13286
  -121.11    38.81    1984  -0.314   0.031   0.215   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.06763
  -121.11    38.81    1985  -0.208   0.021   0.249   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.06104
  -121.11    38.81    1986  -0.241   0.024   0.230   0.000  -0.105   0.000    0.000     0.000    0.000    0.000  -0.09179
  -121.11    38.81    1987  -0.128   0.015   0.193   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07952
  -121.11    38.81    1988  -0.212   0.021   0.250   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05926
  -121.11    38.81    1989  -0.368   0.037   0.253   0.000  -0.003   0.000    0.000     0.000    0.000    0.000  -0.08141
  -121.11    38.81    1990  -0.262   0.026   0.217   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.01865
  -121.11    38.81    1991  -0.233   0.023   0.292   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.08274
  -121.11    38.81    1992  -0.162   0.016   0.297   0.000  -0.096   0.000    0.000     0.000    0.000    0.000   0.05476
  -121.11    38.81    1993  -0.355   0.036   0.257   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.06190
  -121.11    38.81    1994  -0.215   0.022   0.254   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.06078
  -121.11    38.81    1995  -0.360   0.036   0.308   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01593
  -121.11    38.81    1996  -0.300   0.030   0.282   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.01174
  -121.11    38.81    1997  -0.197   0.020   0.327   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.14984
  -121.11    38.81    1998  -0.261   0.026   0.261   0.000  -0.098   0.000    0.000     0.000    0.000    0.000  -0.07220
  -121.11    38.81    1999  -0.281   0.029   0.216   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03600
  -121.11    38.81    2000  -0.314   0.032   0.280   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.00327
  -121.11    38.81    2001  -0.286   0.029   0.274   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.01693
  -121.11    38.81    2002  -0.296   0.030   0.258   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00867
  -121.11    38.81    2003  -0.258   0.026   0.256   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02377
  -121.11    38.81    2004  -0.174   0.017   0.235   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07833
  -121.11    38.81    2005  -0.310   0.031   0.264   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01511
  -121.11    38.81    2006  -0.286   0.029   0.251   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00648
  -121.11    38.81    2007  -0.222   0.022   0.218   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01853
  -121.11    38.81    2008  -0.078   0.009   0.197   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.12835
  -121.11    38.81    2009  -0.239   0.024   0.236   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02130
  -121.11    38.81    2010  -0.369   0.037   0.237   0.000  -0.006   0.000    0.000     0.000    0.000    0.000  -0.10125
  -121.11    38.81    2011  -0.360   0.036   0.236   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.08870
  -121.11    38.81    2012  -0.256   0.026   0.249   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01839
  -121.11    38.81    2013  -0.237   0.024   0.222   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00886
  -121.11    38.81    2014  -0.172   0.017   0.294   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.13904
  -121.11    38.81    2015  -0.179   0.018   0.275   0.000  -0.108   0.000    0.000     0.000    0.000    0.000   0.00549
  -121.11    38.81    2016  -0.283   0.029   0.265   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01136
  -121.11    38.81    2017  -0.365   0.037   0.298   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03014
  -121.11    38.81    2018  -0.363   0.036   0.275   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.05225
  -121.11    38.81    2019  -0.359   0.036   0.278   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.04502
  -121.11    38.81    2020  -0.128   0.014   0.242   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.12797
