      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.037   0.005   0.037   0.002   0.052   0.090   1.160   1.383
  -121.15    38.73    1951   0.060   0.003   0.005   0.002   0.048   0.081   1.157   1.356
  -121.15    38.73    1952   0.055   0.004   0.007   0.003   0.051   0.071   1.123   1.316
  -121.15    38.73    1953   0.064   0.002   0.005   0.003   0.051   0.064   1.092   1.282
  -121.15    38.73    1954   0.068   0.003   0.005   0.003   0.054   0.055   1.059   1.246
  -121.15    38.73    1955   0.063   0.001   0.003   0.003   0.057   0.049   1.027   1.204
  -121.15    38.73    1956   0.064   0.002   0.006   0.005   0.058   0.043   0.999   1.177
  -121.15    38.73    1957   0.060   0.004   0.007   0.003   0.057   0.038   0.968   1.137
  -121.15    38.73    1958   0.067   0.005   0.008   0.003   0.058   0.035   0.942   1.116
  -121.15    38.73    1959   0.072   0.002   0.004   0.003   0.059   0.034   0.916   1.090
  -121.15    38.73    1960   0.071   0.001   0.003   0.003   0.061   0.030   0.888   1.058
  -121.15    38.73    1961   0.066   0.005   0.010   0.004   0.064   0.027   0.862   1.040
  -121.15    38.73    1962   0.062   0.003   0.008   0.003   0.063   0.027   0.841   1.007
  -121.15    38.73    1963   0.058   0.005   0.011   0.003   0.061   0.025   0.821   0.986
  -121.15    38.73    1964   0.063   0.004   0.009   0.003   0.060   0.026   0.803   0.969
  -121.15    38.73    1965   0.061   0.005   0.012   0.003   0.060   0.026   0.785   0.952
  -121.15    38.73    1966   0.062   0.006   0.010   0.003   0.058   0.026   0.768   0.933
  -121.15    38.73    1967   0.063   0.003   0.009   0.003   0.058   0.027   0.751   0.913
  -121.15    38.73    1968   0.060   0.005   0.013   0.004   0.058   0.025   0.735   0.899
  -121.15    38.73    1969   0.058   0.008   0.017   0.003   0.057   0.026   0.722   0.891
  -121.15    38.73    1970   0.058   0.005   0.013   0.003   0.056   0.029   0.713   0.877
  -121.15    38.73    1971   0.058   0.007   0.018   0.002   0.054   0.028   0.700   0.867
  -121.15    38.73    1972   0.057   0.006   0.013   0.003   0.054   0.030   0.692   0.855
  -121.15    38.73    1973   0.059   0.002   0.006   0.002   0.052   0.030   0.679   0.830
  -121.15    38.73    1974   0.065   0.005   0.011   0.003   0.053   0.027   0.661   0.824
  -121.15    38.73    1975   0.066   0.001   0.005   0.003   0.054   0.027   0.647   0.803
  -121.15    38.73    1976   0.065   0.002   0.008   0.003   0.054   0.024   0.629   0.784
  -121.15    38.73    1977   0.060   0.007   0.050   0.003   0.055   0.022   0.614   0.812
  -121.15    38.73    1978   0.069   0.119   0.203   0.002   0.052   0.024   0.640   1.110
  -121.15    38.73    1979   0.048   0.006   0.023   0.002   0.053   0.125   0.813   1.071
  -121.15    38.73    1980   0.047   0.008   0.030   0.003   0.050   0.102   0.802   1.042
  -121.15    38.73    1981   0.073   0.004   0.014   0.002   0.047   0.093   0.802   1.034
  -121.15    38.73    1982   0.062   0.001   0.003   0.003   0.051   0.081   0.787   0.987
  -121.15    38.73    1983   0.066   0.006   0.015   0.003   0.051   0.068   0.761   0.969
  -121.15    38.73    1984   0.072   0.003   0.007   0.002   0.052   0.062   0.746   0.945
  -121.15    38.73    1985   0.073   0.011   0.029   0.003   0.057   0.054   0.726   0.954
  -121.15    38.73    1986   0.067   0.003   0.009   0.004   0.059   0.055   0.729   0.926
  -121.15    38.73    1987   0.062   0.009   0.025   0.003   0.059   0.049   0.712   0.919
  -121.15    38.73    1988   0.060   0.006   0.037   0.003   0.057   0.049   0.710   0.923
  -121.15    38.73    1989   0.059   0.012   0.024   0.003   0.057   0.047   0.723   0.925
  -121.15    38.73    1990   0.058   0.009   0.021   0.002   0.054   0.050   0.718   0.912
  -121.15    38.73    1991   0.055   0.005   0.017   0.002   0.052   0.049   0.712   0.892
  -121.15    38.73    1992   0.053   0.004   0.024   0.003   0.051   0.046   0.706   0.887
  -121.15    38.73    1993   0.051   0.010   0.075   0.003   0.050   0.042   0.705   0.937
  -121.15    38.73    1994   0.044   0.030   0.365   0.003   0.049   0.045   0.755   1.292
