      Lon      Lat    Year    Surf   Drain    Base   Total
  -121.15    38.73    1950    97.8     0.0     0.9    98.8
  -121.15    38.73    1951    59.9    11.9     2.5    74.3
  -121.15    38.73    1952   122.1     0.0     1.3   123.4
  -121.15    38.73    1953   143.8    10.9     4.1   158.8
  -121.15    38.73    1954    61.3     0.0     0.9    62.2
  -121.15    38.73    1955    55.2     0.0     0.1    55.4
  -121.15    38.73    1956   153.0     0.0     0.1   153.1
  -121.15    38.73    1957    32.7     0.0     0.1    32.8
  -121.15    38.73    1958   243.7     0.0     0.6   244.3
  -121.15    38.73    1959    42.4     0.3     0.9    43.6
  -121.15    38.73    1960   227.1    23.0     5.7   255.8
  -121.15    38.73    1961    53.5     0.0     0.7    54.3
  -121.15    38.73    1962   296.8     0.0     1.3   298.1
  -121.15    38.73    1963   445.9     0.0     3.5   449.4
  -121.15    38.73    1964     0.0     0.0     0.0     0.0
  -121.15    38.73    1965    31.2     0.0     0.0    31.2
  -121.15    38.73    1966     2.6     0.0     0.0     2.6
  -121.15    38.73    1967    28.2     0.0     0.0    28.2
  -121.15    38.73    1968     0.0     0.0     0.0     0.0
  -121.15    38.73    1969   169.5     0.0     0.1   169.6
  -121.15    38.73    1970   188.1     0.0     0.6   188.7
  -121.15    38.73    1971    86.6     0.0     0.0    86.6
  -121.15    38.73    1972   546.5     0.0     0.4   547.0
  -121.15    38.73    1973   173.0     0.0     1.8   174.8
  -121.15    38.73    1974   197.0     0.0     2.0   199.0
  -121.15    38.73    1975     6.6     0.0     0.0     6.6
  -121.15    38.73    1976    37.9     0.0     0.1    38.0
  -121.15    38.73    1977   326.4     0.0     1.0   327.4
  -121.15    38.73    1978   173.2     0.0     0.5   173.7
  -121.15    38.73    1979   568.2     0.0     0.2   568.4
  -121.15    38.73    1980   370.4     0.0     0.0   370.4
  -121.15    38.73    1981   427.5     0.0     2.2   429.7
  -121.15    38.73    1982   187.7     0.0     1.4   189.1
  -121.15    38.73    1983   222.9     0.0     0.2   223.1
  -121.15    38.73    1984   331.2     0.0     0.3   331.5
  -121.15    38.73    1985   105.6     0.0     0.7   106.3
  -121.15    38.73    1986   196.3     0.0     0.2   196.5
  -121.15    38.73    1987   287.5     0.0     1.0   288.5
  -121.15    38.73    1988    67.3     0.0     0.0    67.3
  -121.15    38.73    1989    68.2     0.0     0.0    68.3
  -121.15    38.73    1990   196.4     0.0     0.0   196.4
  -121.15    38.73    1991   358.8     0.0     0.8   359.6
  -121.15    38.73    1992   389.0     0.0     1.2   390.2
  -121.15    38.73    1993   357.1     0.0    12.4   369.5
  -121.15    38.73    1994    62.5     0.0     0.1    62.6
  -121.15    38.73    1995   131.0     0.0     0.0   131.0
  -121.15    38.73    1996    97.4     0.0     0.1    97.5
  -121.15    38.73    1997     0.0     0.0     0.0     0.0
  -121.15    38.73    1998   180.1     0.0     0.1   180.2
  -121.15    38.73    1999    43.5     0.0     0.0    43.5
  -121.15    38.73    2000   187.9     0.0     0.5   188.4
  -121.15    38.73    2001   254.2     0.0     2.6   256.8
  -121.15    38.73    2002   144.9     0.0     0.1   145.0
  -121.15    38.73    2003   414.0     0.0     0.1   414.1
  -121.15    38.73    2004   124.1     0.0     1.0   125.1
  -121.15    38.73    2005   381.6     0.0     0.3   381.9
  -121.15    38.73    2006   366.1     0.0     5.5   371.6
  -121.15    38.73    2007   539.2    40.0     5.8   585.0
  -121.15    38.73    2008   266.0    16.9     2.6   285.5
  -121.15    38.73    2009     6.2     0.0     0.2     6.5
  -121.15    38.73    2010   558.7     0.0     2.5   561.2
  -121.15    38.73    2011   336.2     0.0     6.4   342.5
  -121.15    38.73    2012    97.3     0.0     0.3    97.5
  -121.15    38.73    2013   263.4     0.0     1.0   264.4
  -121.15    38.73    2014    45.7    20.0     2.0    67.7
  -121.15    38.73    2015    94.5    17.8     2.1   114.4
  -121.15    38.73    2016   136.2    11.2     1.8   149.2
  -121.15    38.73    2017   225.9     8.8     3.8   238.5
  -121.15    38.73    2018     0.5     0.0     0.0     0.5
  -121.15    38.73    2019    68.4     0.0     0.0    68.4
  -121.15    38.73    2020   108.7     0.0     0.0   108.8
  -121.15    38.73    2021   111.8     0.0     0.0   111.8
  -121.15    38.73    2022    21.4     0.0     0.0    21.4
  -121.15    38.73    2023   204.0     0.0     0.5   204.5
  -121.15    38.73    2024   272.1    18.5     3.1   293.6
  -121.15    38.73    2025   436.3    29.5     5.5   471.3
  -121.15    38.73    2026     8.7     0.0     0.6     9.3
  -121.15    38.73    2027   145.0     0.0     0.6   145.6
  -121.15    38.73    2028   141.1     0.0     0.6   141.8
  -121.15    38.73    2029   410.4     0.0     0.6   410.9
  -121.15    38.73    2030   130.1     0.0     1.7   131.8
  -121.15    38.73    2031    68.6    30.2     3.5   102.3
  -121.15    38.73    2032    28.5    11.8     1.4    41.7
  -121.15    38.73    2033   131.0     0.0     1.0   132.0
  -121.15    38.73    2034    96.8     0.0     0.8    97.6
  -121.15    38.73    2035   142.7     0.0     2.3   145.0
  -121.15    38.73    2036    93.1     0.0     0.1    93.3
  -121.15    38.73    2037    35.3     0.0     0.0    35.4
  -121.15    38.73    2038    28.3     0.0     0.2    28.5
  -121.15    38.73    2039   497.8     0.0     0.1   497.9
  -121.15    38.73    2040   523.4     0.0     0.6   524.0
  -121.15    38.73    2041   414.7     0.0     1.5   416.2
  -121.15    38.73    2042   620.0     0.0     2.9   622.8
  -121.15    38.73    2043   185.9     0.0     1.3   187.1
  -121.15    38.73    2044   455.0    32.5     7.8   495.3
  -121.15    38.73    2045   294.6    49.5     8.4   352.6
  -121.15    38.73    2046    72.3    14.1     1.9    88.3
  -121.15    38.73    2047   298.3    19.0     7.2   324.5
  -121.15    38.73    2048   324.4     0.9     5.2   330.5
  -121.15    38.73    2049   321.3     0.0     6.3   327.6
  -121.15    38.73    2050   240.6     0.0     2.1   242.7
  -121.15    38.73    2051   391.7    38.0     7.5   437.1
  -121.15    38.73    2052   345.4    27.6     4.6   377.6
  -121.15    38.73    2053    18.1     9.4     0.7    28.2
  -121.15    38.73    2054     0.0     0.0     0.0     0.0
  -121.15    38.73    2055   147.1     0.0     1.2   148.3
  -121.15    38.73    2056   802.6    13.5     6.4   822.4
  -121.15    38.73    2057   300.0    10.5    12.6   323.1
  -121.15    38.73    2058   136.8    70.0     5.6   212.4
  -121.15    38.73    2059    78.9    39.1     2.8   120.8
  -121.15    38.73    2060   215.8     0.0     1.8   217.6
  -121.15    38.73    2061   226.3     1.9     3.0   231.2
  -121.15    38.73    2062    36.4    15.9     1.3    53.6
  -121.15    38.73    2063   337.2     0.0     4.3   341.5
  -121.15    38.73    2064   145.0     0.0     0.8   145.8
  -121.15    38.73    2065   518.8     0.0     1.4   520.2
  -121.15    38.73    2066   127.3     0.0     0.0   127.3
  -121.15    38.73    2067    53.5     0.0     0.0    53.5
  -121.15    38.73    2068   188.4     0.0     0.9   189.3
  -121.15    38.73    2069    43.6     0.0     0.0    43.7
  -121.15    38.73    2070    98.3     0.0     0.3    98.6
  -121.15    38.73    2071    39.6     0.0     0.0    39.6
  -121.15    38.73    2072   493.1     0.0     0.1   493.2
  -121.15    38.73    2073   237.0     0.0     3.1   240.1
  -121.15    38.73    2074    74.2     0.0     1.0    75.2
  -121.15    38.73    2075   391.4     0.0     3.5   394.9
  -121.15    38.73    2076   234.2     0.0     1.8   236.0
  -121.15    38.73    2077    57.0     0.0     0.2    57.2
  -121.15    38.73    2078   281.7     0.0     0.3   282.0
  -121.15    38.73    2079   291.1     0.0     1.5   292.5
  -121.15    38.73    2080   658.4    41.5    11.2   711.1
  -121.15    38.73    2081   671.8    29.6    13.3   714.6
  -121.15    38.73    2082   254.2     0.0     4.9   259.2
  -121.15    38.73    2083    22.8     0.0     0.3    23.0
  -121.15    38.73    2084   258.1     0.0     0.9   259.0
  -121.15    38.73    2085   417.0     0.0     1.8   418.8
  -121.15    38.73    2086   226.6     0.0     6.7   233.3
  -121.15    38.73    2087   218.0     0.0     2.5   220.5
  -121.15    38.73    2088   201.0     0.0     5.4   206.4
  -121.15    38.73    2089   226.2     0.0     2.4   228.6
  -121.15    38.73    2090    97.9     0.0     0.6    98.5
  -121.15    38.73    2091   405.5     0.0     3.1   408.6
  -121.15    38.73    2092   381.0     1.5     8.5   391.0
  -121.15    38.73    2093   384.2    22.4    16.1   422.7
  -121.15    38.73    2094   235.5    16.6     6.3   258.4
  -121.15    38.73    2095   150.9     0.8     6.8   158.5
  -121.15    38.73    2096   297.0     0.0     4.7   301.7
  -121.15    38.73    2097   673.3    27.7    25.5   726.4
  -121.15    38.73    2098     3.7     0.0     1.0     4.7
  -121.15    38.73    2099   173.7     0.0     1.8   175.5
  -121.11    38.85    1950    32.2     0.0     0.2    32.3
  -121.11    38.85    1951    87.6     0.0     0.5    88.0
  -121.11    38.85    1952    46.5     0.0     0.0    46.5
  -121.11    38.85    1953   225.8     0.0     0.7   226.6
  -121.11    38.85    1954    44.1     0.0     0.1    44.2
  -121.11    38.85    1955    20.9     0.0     0.0    20.9
  -121.11    38.85    1956   120.0     0.0     0.0   120.0
  -121.11    38.85    1957    30.9     0.0     0.0    30.9
  -121.11    38.85    1958   233.7     0.0     0.0   233.7
  -121.11    38.85    1959    10.6     0.0     0.0    10.6
  -121.11    38.85    1960   180.4     0.0     0.0   180.4
  -121.11    38.85    1961    30.2     0.0     0.0    30.2
  -121.11    38.85    1962   208.3     0.0     0.1   208.3
  -121.11    38.85    1963   443.1     0.0     0.2   443.3
  -121.11    38.85    1964     0.4     0.0     0.0     0.4
  -121.11    38.85    1965    11.7     0.0     0.0    11.7
  -121.11    38.85    1966     0.2     0.0     0.0     0.2
  -121.11    38.85    1967    31.9     0.0     0.0    31.9
  -121.11    38.85    1968     0.0     0.0     0.0     0.0
  -121.11    38.85    1969   192.7     0.0     0.0   192.7
  -121.11    38.85    1970   205.4     0.0     0.0   205.4
  -121.11    38.85    1971    49.7     0.0     0.0    49.7
  -121.11    38.85    1972   623.2     0.0     0.0   623.2
  -121.11    38.85    1973   206.7     0.0     0.1   206.9
  -121.11    38.85    1974   181.0     0.0     0.2   181.2
  -121.11    38.85    1975     0.0     0.0     0.0     0.0
  -121.11    38.85    1976    13.3     0.0     0.0    13.3
  -121.11    38.85    1977   279.0     0.0     0.0   279.1
  -121.11    38.85    1978   175.8     0.0     0.0   175.8
  -121.11    38.85    1979   622.4     0.0     0.0   622.4
  -121.11    38.85    1980   306.6     0.0     0.0   306.6
  -121.11    38.85    1981   532.1     0.0     0.1   532.2
  -121.11    38.85    1982   127.2     0.0     0.1   127.3
  -121.11    38.85    1983   218.3     0.0     0.0   218.3
  -121.11    38.85    1984   313.7     0.0     0.0   313.7
  -121.11    38.85    1985   134.3     0.0     0.0   134.4
  -121.11    38.85    1986   174.1     0.0     0.0   174.1
  -121.11    38.85    1987   374.7     0.0     0.1   374.8
  -121.11    38.85    1988    26.7     0.0     0.0    26.7
  -121.11    38.85    1989    65.0     0.0     0.0    65.0
  -121.11    38.85    1990   187.5     0.0     0.0   187.5
  -121.11    38.85    1991   443.2     0.0     0.0   443.2
  -121.11    38.85    1992   462.2     0.0     0.1   462.4
  -121.11    38.85    1993   422.4     0.0     1.1   423.5
  -121.11    38.85    1994   117.5     0.0     0.0   117.5
  -121.11    38.85    1995   108.7     0.0     0.0   108.7
  -121.11    38.85    1996    99.8     0.0     0.0    99.8
  -121.11    38.85    1997     0.0     0.0     0.0     0.0
  -121.11    38.85    1998   164.5     0.0     0.0   164.5
  -121.11    38.85    1999    28.7     0.0     0.0    28.7
  -121.11    38.85    2000   231.3     0.0     0.0   231.4
  -121.11    38.85    2001   423.4     0.0     0.1   423.4
  -121.11    38.85    2002   122.0     0.0     0.0   122.0
  -121.11    38.85    2003   367.2     0.0     0.3   367.4
  -121.11    38.85    2004   170.2     0.0     0.6   170.8
  -121.11    38.85    2005   441.9     0.0     1.8   443.7
  -121.11    38.85    2006   456.0     2.3     1.6   459.8
  -121.11    38.85    2007   626.1     0.0     1.7   627.9
  -121.11    38.85    2008   321.5     0.0     1.8   323.3
  -121.11    38.85    2009     8.9     0.0     0.0     8.9
  -121.11    38.85    2010   600.2     0.0     0.1   600.3
  -121.11    38.85    2011   419.0     0.0     0.3   419.2
  -121.11    38.85    2012    33.6     0.0     0.0    33.6
  -121.11    38.85    2013   291.8     0.0     0.1   291.9
  -121.11    38.85    2014    35.5     0.0     0.3    35.8
  -121.11    38.85    2015   107.8     0.0     1.1   108.9
  -121.11    38.85    2016   186.8     0.0     1.3   188.1
  -121.11    38.85    2017   253.0     0.6     2.1   255.7
  -121.11    38.85    2018     0.0     0.0     0.0     0.0
  -121.11    38.85    2019    56.4     0.0     0.6    57.0
  -121.11    38.85    2020   142.8     0.0     0.5   143.3
  -121.11    38.85    2021   126.3     0.0     0.5   126.7
  -121.11    38.85    2022     8.9     0.0     0.0     8.9
  -121.11    38.85    2023   243.0     0.0     0.9   243.9
  -121.11    38.85    2024   189.5     0.0     0.1   189.6
  -121.11    38.85    2025   605.3     0.0     0.3   605.6
  -121.11    38.85    2026     0.5     0.0     0.0     0.5
  -121.11    38.85    2027   100.2     0.0     0.0   100.2
  -121.11    38.85    2028   128.1     0.0     0.0   128.1
  -121.11    38.85    2029   505.8     0.0     0.0   505.8
  -121.11    38.85    2030   167.8     0.0     0.1   167.8
  -121.11    38.85    2031   132.2     0.0     0.0   132.2
  -121.11    38.85    2032    42.5     0.0     0.0    42.5
  -121.11    38.85    2033    38.3     0.0     0.0    38.3
  -121.11    38.85    2034    45.9     0.0     0.0    45.9
  -121.11    38.85    2035   194.8     0.0     0.1   194.8
  -121.11    38.85    2036    65.0     0.0     0.0    65.1
  -121.11    38.85    2037    22.3     0.0     0.0    22.3
  -121.11    38.85    2038     7.5     0.0     0.0     7.5
  -121.11    38.85    2039   461.4     0.0     0.3   461.7
  -121.11    38.85    2040   633.4     0.0     1.2   634.6
  -121.11    38.85    2041   476.1     2.2     1.8   480.2
  -121.11    38.85    2042   672.4     3.1     3.1   678.6
  -121.11    38.85    2043   165.7     0.0     1.4   167.1
  -121.11    38.85    2044   451.2     0.0     5.7   456.9
  -121.11    38.85    2045   367.4     0.0     4.2   371.7
  -121.11    38.85    2046     6.9     0.0     0.2     7.1
  -121.11    38.85    2047   273.6     0.0     0.5   274.1
  -121.11    38.85    2048   375.2     0.0     0.3   375.5
  -121.11    38.85    2049   396.0     0.0     0.5   396.5
  -121.11    38.85    2050   322.9     0.0     0.7   323.6
  -121.11    38.85    2051   475.1     0.0     0.8   475.8
  -121.11    38.85    2052   304.1     0.0     1.1   305.1
  -121.11    38.85    2053     0.0     0.0     0.0     0.0
  -121.11    38.85    2054     0.0     0.0     0.0     0.0
  -121.11    38.85    2055   238.7     0.0     0.0   238.7
  -121.11    38.85    2056   905.5     0.0     0.9   906.4
  -121.11    38.85    2057   426.4     0.0     3.6   430.0
  -121.11    38.85    2058    56.0     0.0     0.4    56.3
  -121.11    38.85    2059   102.9     0.0     1.3   104.1
  -121.11    38.85    2060   241.4     0.0     0.4   241.8
  -121.11    38.85    2061   265.6     0.0     0.5   266.1
  -121.11    38.85    2062    38.8     0.0     0.8    39.6
  -121.11    38.85    2063   437.4     1.7     6.3   445.4
  -121.11    38.85    2064   181.8    12.3     4.9   199.0
  -121.11    38.85    2065   546.3    18.3     8.8   573.4
  -121.11    38.85    2066   103.0     0.0     2.1   105.1
  -121.11    38.85    2067    56.0     0.0     1.1    57.1
  -121.11    38.85    2068   232.2     0.0     6.1   238.3
  -121.11    38.85    2069    57.1     0.0     1.2    58.3
  -121.11    38.85    2070   151.3     0.0     4.2   155.5
  -121.11    38.85    2071    12.0     0.0     0.2    12.2
  -121.11    38.85    2072   603.3     0.0     2.2   605.6
  -121.11    38.85    2073   293.0     0.0     4.8   297.7
  -121.11    38.85    2074    75.8     2.4     2.4    80.6
  -121.11    38.85    2075   432.2     5.0     5.4   442.6
  -121.11    38.85    2076   210.6     3.1     5.9   219.6
  -121.11    38.85    2077    67.3     2.5     2.6    72.4
  -121.11    38.85    2078   300.0     4.0     6.5   310.5
  -121.11    38.85    2079   339.7    20.5    12.6   372.8
  -121.11    38.85    2080   804.8    47.4    22.8   874.9
  -121.11    38.85    2081   769.3    61.9    21.6   852.7
  -121.11    38.85    2082   273.3    51.0    13.8   338.0
  -121.11    38.85    2083    39.7     0.0     3.7    43.4
  -121.11    38.85    2084   314.8     4.0    17.9   336.6
  -121.11    38.85    2085   459.7    56.6    24.9   541.2
  -121.11    38.85    2086   286.2   100.7    22.1   409.0
  -121.11    38.85    2087   301.0    72.9    18.4   392.3
  -121.11    38.85    2088   252.9    46.8    14.1   313.7
  -121.11    38.85    2089   277.6    41.7    16.7   336.0
  -121.11    38.85    2090    77.7     4.5     2.0    84.2
  -121.11    38.85    2091   489.2    26.8    20.5   536.4
  -121.11    38.85    2092   518.6    95.8    32.0   646.4
  -121.11    38.85    2093   503.6   105.3    25.6   634.4
  -121.11    38.85    2094   300.2    89.5    15.4   405.0
  -121.11    38.85    2095   171.5    21.9    12.0   205.5
  -121.11    38.85    2096   519.2    87.2    25.2   631.6
  -121.11    38.85    2097   726.4   119.9    28.0   874.3
  -121.11    38.85    2098     3.6    13.4     1.1    18.1
  -121.11    38.85    2099   209.5    34.4    12.2   256.0
  -121.11    38.81    1950     0.0     0.0     0.0     0.0
  -121.11    38.81    1951    12.8     0.0     0.0    12.8
  -121.11    38.81    1952     0.0     0.0     0.0     0.0
  -121.11    38.81    1953   167.7     0.0     0.0   167.7
  -121.11    38.81    1954     1.5     0.0     0.0     1.5
  -121.11    38.81    1955     0.0     0.0     0.0     0.0
  -121.11    38.81    1956     5.2     0.0     0.0     5.2
  -121.11    38.81    1957     0.0     0.0     0.0     0.0
  -121.11    38.81    1958   154.4     0.0     0.0   154.4
  -121.11    38.81    1959     0.0     0.0     0.0     0.0
  -121.11    38.81    1960   117.7     0.0     0.0   117.7
  -121.11    38.81    1961     0.0     0.0     0.0     0.0
  -121.11    38.81    1962    94.7     0.0     0.0    94.7
  -121.11    38.81    1963   391.1     0.0     0.0   391.1
  -121.11    38.81    1964     0.0     0.0     0.0     0.0
  -121.11    38.81    1965     0.0     0.0     0.0     0.0
  -121.11    38.81    1966     0.0     0.0     0.0     0.0
  -121.11    38.81    1967     0.0     0.0     0.0     0.0
  -121.11    38.81    1968     0.0     0.0     0.0     0.0
  -121.11    38.81    1969    70.1     0.0     0.0    70.1
  -121.11    38.81    1970   138.4     0.0     0.0   138.4
  -121.11    38.81    1971     0.6     0.0     0.0     0.6
  -121.11    38.81    1972   414.0     0.0     0.0   414.0
  -121.11    38.81    1973   148.4     0.0     0.0   148.4
  -121.11    38.81    1974   199.2     0.0     0.0   199.2
  -121.11    38.81    1975     0.0     0.0     0.0     0.0
  -121.11    38.81    1976     0.0     0.0     0.0     0.0
  -121.11    38.81    1977   215.2     0.0     0.0   215.2
  -121.11    38.81    1978    92.7     0.0     0.0    92.7
  -121.11    38.81    1979   504.6     0.0     0.0   504.6
  -121.11    38.81    1980   117.6     0.0     0.0   117.6
  -121.11    38.81    1981   454.4     0.0     0.0   454.5
  -121.11    38.81    1982   136.4     0.0     0.0   136.5
  -121.11    38.81    1983   150.4     0.0     0.0   150.5
  -121.11    38.81    1984   169.0     0.0     0.0   169.0
  -121.11    38.81    1985   112.7     0.0     0.0   112.7
  -121.11    38.81    1986   105.7     0.0     0.0   105.7
  -121.11    38.81    1987   291.4     0.0     0.0   291.4
  -121.11    38.81    1988     0.0     0.0     0.0     0.0
  -121.11    38.81    1989     2.0     0.0     0.0     2.0
  -121.11    38.81    1990    85.4     0.0     0.0    85.4
  -121.11    38.81    1991   298.7     0.0     0.0   298.7
  -121.11    38.81    1992   396.6     0.0     0.0   396.7
  -121.11    38.81    1993   411.1     0.0     0.3   411.4
  -121.11    38.81    1994    57.5     0.0     0.0    57.6
  -121.11    38.81    1995    26.8     0.0     0.0    26.8
  -121.11    38.81    1996    39.7     0.0     0.0    39.7
  -121.11    38.81    1997     0.0     0.0     0.0     0.0
  -121.11    38.81    1998    67.2     0.0     0.0    67.2
  -121.11    38.81    1999     0.0     0.0     0.0     0.0
  -121.11    38.81    2000   119.2     0.0     0.0   119.2
  -121.11    38.81    2001   334.1     0.0     0.0   334.1
  -121.11    38.81    2002    60.5     0.0     0.0    60.5
  -121.11    38.81    2003   164.3     0.0     0.0   164.3
  -121.11    38.81    2004   162.2     0.0     0.0   162.2
  -121.11    38.81    2005   328.7     0.0     0.0   328.8
  -121.11    38.81    2006   444.7     0.0     0.2   444.9
  -121.11    38.81    2007   473.9     0.0     0.1   473.9
  -121.11    38.81    2008   301.8     0.0     0.2   302.0
  -121.11    38.81    2009     0.0     0.0     0.0     0.0
  -121.11    38.81    2010   398.5     0.0     0.1   398.6
  -121.11    38.81    2011   391.9     0.0     0.5   392.4
  -121.11    38.81    2012     0.1     0.0     0.0     0.1
  -121.11    38.81    2013   202.8     0.0     0.3   203.1
  -121.11    38.81    2014     3.7     0.0     0.0     3.7
  -121.11    38.81    2015    52.7     0.0     0.1    52.7
  -121.11    38.81    2016   142.5     0.0     0.1   142.6
  -121.11    38.81    2017   187.0     0.0     0.1   187.0
  -121.11    38.81    2018     0.0     0.0     0.0     0.0
  -121.11    38.81    2019    22.2     0.0     0.0    22.2
  -121.11    38.81    2020    70.9     0.0     0.0    70.9
  -121.11    38.81    2021    55.5     0.0     0.0    55.6
  -121.11    38.81    2022     7.8     0.0     0.0     7.8
  -121.11    38.81    2023   145.0     0.0     0.2   145.2
  -121.11    38.81    2024   135.7     0.0     0.1   135.8
  -121.11    38.81    2025   513.7     0.0     0.4   514.1
  -121.11    38.81    2026     0.0     0.0     0.0     0.0
  -121.11    38.81    2027     2.8     0.0     0.0     2.8
  -121.11    38.81    2028    52.2     0.0     0.0    52.2
  -121.11    38.81    2029   298.1     0.0     0.0   298.1
  -121.11    38.81    2030    92.9     0.0     0.0    92.9
  -121.11    38.81    2031    99.8     0.0     0.0    99.8
  -121.11    38.81    2032    19.0     0.0     0.0    19.0
  -121.11    38.81    2033     0.0     0.0     0.0     0.0
  -121.11    38.81    2034     0.0     0.0     0.0     0.0
  -121.11    38.81    2035   155.9     0.0     0.0   156.0
  -121.11    38.81    2036    24.0     0.0     0.0    24.0
  -121.11    38.81    2037     6.8     0.0     0.0     6.8
  -121.11    38.81    2038     0.3     0.0     0.0     0.3
  -121.11    38.81    2039   403.1     0.0     0.0   403.1
  -121.11    38.81    2040   531.7     0.0     0.4   532.1
  -121.11    38.81    2041   425.7     0.0     1.0   426.7
  -121.11    38.81    2042   531.7     0.0     1.8   533.5
  -121.11    38.81    2043   151.9     0.0     1.0   152.9
  -121.11    38.81    2044   439.1     0.0     2.5   441.6
  -121.11    38.81    2045   301.7     0.0     2.9   304.6
  -121.11    38.81    2046     0.0     0.0     0.0     0.0
  -121.11    38.81    2047   150.5     0.0     0.2   150.8
  -121.11    38.81    2048   316.0     0.0     0.3   316.3
  -121.11    38.81    2049   354.0     0.0     0.5   354.5
  -121.11    38.81    2050   276.3     0.0     0.9   277.2
  -121.11    38.81    2051   414.5     0.0     2.7   417.2
  -121.11    38.81    2052   265.5     0.0     2.6   268.1
  -121.11    38.81    2053     0.0     0.0     0.0     0.0
  -121.11    38.81    2054     0.0     0.0     0.0     0.0
  -121.11    38.81    2055    67.0     0.0     0.1    67.1
  -121.11    38.81    2056   801.9     0.0     1.6   803.5
  -121.11    38.81    2057   403.3     0.0     1.9   405.2
  -121.11    38.81    2058     6.6     0.0     0.0     6.6
  -121.11    38.81    2059    73.8     0.0     0.5    74.3
  -121.11    38.81    2060    93.9     0.0     0.2    94.1
  -121.11    38.81    2061   232.7     2.3     2.4   237.4
  -121.11    38.81    2062    37.2    10.2     0.6    47.9
  -121.11    38.81    2063   254.2     6.0     1.7   261.8
  -121.11    38.81    2064    92.5     5.6     2.2   100.3
  -121.11    38.81    2065   512.5     0.0     2.4   514.9
  -121.11    38.81    2066    40.5     0.0     0.4    40.9
  -121.11    38.81    2067     3.8     0.0     0.2     4.0
  -121.11    38.81    2068   151.0     0.0     1.0   152.1
  -121.11    38.81    2069     1.8     0.0     0.1     1.9
  -121.11    38.81    2070    62.3     0.0     0.2    62.4
  -121.11    38.81    2071     0.0     0.0     0.0     0.0
  -121.11    38.81    2072   406.4     0.0     0.0   406.5
  -121.11    38.81    2073   260.6     0.0     0.2   260.8
  -121.11    38.81    2074    48.0     0.0     0.1    48.0
  -121.11    38.81    2075   349.9     0.0     0.3   350.2
  -121.11    38.81    2076   172.6     0.0     0.3   172.9
  -121.11    38.81    2077    34.9     0.0     0.1    34.9
  -121.11    38.81    2078   333.3     0.0     0.3   333.6
  -121.11    38.81    2079   325.4     0.0     1.6   327.0
  -121.11    38.81    2080   720.1     0.0     5.8   725.9
  -121.11    38.81    2081   738.4     2.4     6.7   747.4
  -121.11    38.81    2082   238.2     6.8     5.7   250.6
  -121.11    38.81    2083     6.5     0.0     0.2     6.7
  -121.11    38.81    2084   257.4     0.0     4.8   262.2
  -121.11    38.81    2085   447.0    23.4    11.4   481.7
  -121.11    38.81    2086   272.5    26.2    10.8   309.5
  -121.11    38.81    2087   217.2    23.2    10.5   250.9
  -121.11    38.81    2088   189.6    30.1    14.3   234.0
  -121.11    38.81    2089   270.0    17.0     9.5   296.4
  -121.11    38.81    2090    45.9     2.5     2.0    50.4
  -121.11    38.81    2091   383.0    18.1    14.2   415.3
  -121.11    38.81    2092   451.0    73.5    25.7   550.2
  -121.11    38.81    2093   532.9    73.0    23.1   629.0
  -121.11    38.81    2094   243.7    78.4    11.5   333.7
  -121.11    38.81    2095   183.5    45.0    13.4   241.9
  -121.11    38.81    2096   347.4    31.6    16.1   395.1
  -121.11    38.81    2097   693.3   103.9    24.7   821.9
  -121.11    38.81    2098     0.0     3.3     0.0     3.3
  -121.11    38.81    2099   122.3    13.4    11.3   146.9
  -121.11    38.77    1950    15.3     0.0     0.0    15.3
  -121.11    38.77    1951    49.7     0.0     0.0    49.7
  -121.11    38.77    1952    83.7     0.0     0.0    83.7
  -121.11    38.77    1953   151.0     0.0     0.1   151.1
  -121.11    38.77    1954    87.3     0.0     0.0    87.3
  -121.11    38.77    1955    10.3     0.0     0.0    10.3
  -121.11    38.77    1956    73.5     0.0     0.0    73.5
  -121.11    38.77    1957    13.9     0.0     0.0    13.9
  -121.11    38.77    1958   210.0     0.0     0.1   210.1
  -121.11    38.77    1959     6.5     0.0     0.0     6.5
  -121.11    38.77    1960   164.4     0.0     0.0   164.4
  -121.11    38.77    1961    12.3     0.0     0.0    12.3
  -121.11    38.77    1962   249.1     0.0     0.2   249.4
  -121.11    38.77    1963   428.1     0.0     2.8   430.9
  -121.11    38.77    1964     0.0     0.0     0.0     0.0
  -121.11    38.77    1965     2.8     0.0     0.0     2.8
  -121.11    38.77    1966     0.0     0.0     0.0     0.0
  -121.11    38.77    1967     8.9     0.0     0.0     8.9
  -121.11    38.77    1968     0.0     0.0     0.0     0.0
  -121.11    38.77    1969   115.2     0.0     0.0   115.2
  -121.11    38.77    1970   173.9     0.0     0.0   173.9
  -121.11    38.77    1971    24.2     0.0     0.0    24.2
  -121.11    38.77    1972   522.4     0.0     0.1   522.5
  -121.11    38.77    1973   147.0     0.0     0.3   147.3
  -121.11    38.77    1974   176.1     0.0     0.3   176.4
  -121.11    38.77    1975     0.0     0.0     0.0     0.0
  -121.11    38.77    1976    18.2     0.0     0.0    18.2
  -121.11    38.77    1977   278.0     0.0     1.0   279.0
  -121.11    38.77    1978   149.4     6.0     3.8   159.1
  -121.11    38.77    1979   492.0     0.0     4.4   496.5
  -121.11    38.77    1980   275.8     0.0     1.1   276.9
