      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
  -121.15    38.73    1979    36.739    75.746    10.040     0.000     0.000     0.000     0.000     0.000     0.000     0.000     2.298    65.608
  -121.15    38.73    1980   114.300   127.066     9.866     2.473     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    1981     0.000     0.000    30.590     0.000     0.000     0.000     0.000     0.000     0.000     0.000   142.451   130.038
  -121.15    38.73    1982    71.673    33.833   103.122     6.525     0.000     0.000     0.000     0.000     0.000     0.000   149.451   104.015
  -121.15    38.73    1983    98.921   115.306   185.626    45.780     0.000     0.000     0.000     0.000     0.000     0.000   142.355   140.156
  -121.15    38.73    1984     0.000     5.010     2.131     0.000     0.000     0.000     0.000     0.000     0.000     0.000    45.512     0.000
  -121.15    38.73    1985     0.000     0.000    14.164     0.000     0.000     0.000     0.000     0.000     0.000     0.000    25.309     0.118
  -121.15    38.73    1986    33.917   226.472    75.045     0.286     0.363     0.000     0.000     0.000     1.249     0.904     1.204     2.211
  -121.15    38.73    1987     5.075    19.830    59.762     0.031     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    1988    20.120     1.070     0.000     2.356     0.000     0.000     0.000     0.000     0.000     0.000     2.276    42.296
  -121.15    38.73    1989     1.417     0.000   124.850     0.059     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    1990    15.612    22.006     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    1991     0.000     0.000   129.575     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    1992     0.000    89.776    15.994     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     8.558
  -121.15    38.73    1993   157.701   105.792    31.558     0.509     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    1994     0.000    28.536     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    1995   198.375     0.000   185.016     3.476     0.000     0.000     0.000     0.000     0.000     0.000     0.000    37.141
  -121.15    38.73    1996    42.042    76.573    21.391     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000   142.142
  -121.15    38.73    1997   170.395     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    1998   110.534   239.294    25.134     8.221     3.143     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    1999     7.203    89.237     1.348     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    2000    21.514   169.302     0.000     0.081     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    2001     8.637    59.120     0.910     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000   100.047
  -121.15    38.73    2002    18.329     8.460    25.483     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    67.402
  -121.15    38.73    2003     0.431     0.000     0.000    26.978     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    2004     0.019    70.375     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    28.707
  -121.15    38.73    2005    34.530     7.932    46.150     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000   196.026
  -121.15    38.73    2006    31.533    14.838    97.238    67.633     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    2007     0.000    70.646     0.000     0.090     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    2008    39.380     7.247     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    2009     0.000    42.908     0.434     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    2010    51.629    22.050     0.000     1.108     0.000     0.000     0.000     0.000     0.000     0.000     0.000   159.672
  -121.15    38.73    2011     0.240    46.753   157.506     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    2012     0.000     0.000    72.037    27.593     0.000     0.000     0.000     0.000     0.000     0.000    63.987    63.801
  -121.15    38.73    2013     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    2014     0.000    64.784    24.037     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    86.704
  -121.15    38.73    2015     0.000     3.241     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    2016    40.687     0.000    90.684     0.276     0.000     0.000     0.000     0.000     0.000    44.212    37.806    40.751
  -121.15    38.73    2017   220.101   210.018    22.977    44.010     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  -121.15    38.73    2018    40.066     1.081    95.779     8.512     0.000     0.000     0.000     0.000     0.000     0.000     0.000     6.689
