      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
  -121.15    38.73    1979   1.251   1.840   1.402   0.673   0.155   0.000   0.072   0.014   0.014   0.659   0.489   1.203
  -121.15    38.73    1980   3.143   5.187   2.534   1.132   0.538   0.000   0.000   0.000   0.000   0.205   0.179   0.300
  -121.15    38.73    1981   2.685   0.994   4.374   0.797   0.478   0.000   0.000   0.000   0.183   1.275   4.492   2.793
  -121.15    38.73    1982   2.521   2.582   6.089   3.200   0.028   0.327   0.000   0.000   1.866   2.435   3.946   3.098
  -121.15    38.73    1983   4.096   6.295  11.493   6.191   0.771   0.228   0.000   0.240   1.520   0.969   5.655   4.848
  -121.15    38.73    1984   0.307   3.132   3.407   1.674   0.000   0.352   0.000   0.250   0.068   2.186   4.562   0.750
  -121.15    38.73    1985   0.607   2.095   4.463   0.134   0.000   0.000   0.000   0.153   0.689   0.761   4.291   1.191
  -121.15    38.73    1986   2.081   8.374   5.116   1.197   0.064   0.000   0.000   0.000   1.026   0.117   0.352   0.595
  -121.15    38.73    1987   2.069   3.965   5.583   0.261   0.170   0.000   0.000   0.000   0.000   0.936   2.508   2.233
  -121.15    38.73    1988   1.842   0.399   0.000   2.387   0.576   0.302   0.000   0.000   0.014   0.000   2.167   2.183
  -121.15    38.73    1989   0.790   1.351   8.214   0.556   0.153   0.233   0.000   0.221   2.977   2.636   2.057   0.000
  -121.15    38.73    1990   3.151   3.331   1.629   1.378   3.661   0.000   0.000   0.000   0.028   0.362   1.211   0.666
  -121.15    38.73    1991   0.503   2.680  10.552   0.735   0.770   0.992   0.000   0.285   0.000   2.223   0.773   1.704
  -121.15    38.73    1992   1.541   7.006   3.482   1.563   0.000   0.875   0.000   0.000   0.000   1.944   0.372   2.652
  -121.15    38.73    1993   5.476   6.846   4.921   1.150   1.999   0.744   0.000   0.033   0.000   0.819   3.564   1.979
  -121.15    38.73    1994   1.490   4.204   0.510   1.990   1.615   0.046   0.000   0.000   0.129   0.000   1.861   1.703
  -121.15    38.73    1995   6.258   0.632  11.319   3.136   1.917   1.568   0.000   0.000   0.000   0.000   0.076   5.304
  -121.15    38.73    1996   2.920   6.222   3.946   1.806   3.755   0.285   0.000   0.000   0.000   1.278   2.871   5.275
  -121.15    38.73    1997   6.239   0.631   0.531   0.965   0.386   0.479   0.000   0.369   0.042   1.027   3.874   0.705
  -121.15    38.73    1998   3.584   9.217   3.664   3.350   3.700   0.355   0.000   0.000   0.141   0.570   2.564   0.206
  -121.15    38.73    1999   2.446   5.733   2.400   1.663   0.000   0.000   0.000   0.095   0.000   0.411   1.693   0.024
  -121.15    38.73    2000   3.911   8.836   2.214   1.932   2.780   0.471   0.000   0.000   0.000   2.801   0.626   0.652
  -121.15    38.73    2001   2.302   4.566   2.713   3.234   0.000   0.141   0.000   0.000   0.313   0.416   2.737   3.803
  -121.15    38.73    2002   1.642   1.927   3.855   0.593   1.822   0.000   0.000   0.000   0.000   0.000   0.189   4.442
  -121.15    38.73    2003   0.617   1.697   2.438   5.258   0.448   0.000   0.000   0.531   0.000   0.055   0.371   2.422
  -121.15    38.73    2004   1.014   3.744   0.459   0.382   0.076   0.000   0.000   0.000   0.116   1.704   0.869   1.575
  -121.15    38.73    2005   1.483   1.860   4.172   1.635   2.236   1.035   0.000   0.000   0.156   0.123   0.573   3.600
  -121.15    38.73    2006   1.765   2.401   7.616   6.704   0.935   0.000   0.000   0.000   0.000   0.000   0.434   1.177
  -121.15    38.73    2007   0.059   5.518   0.894   2.195   0.122   0.040   0.000   0.000   0.153   0.484   0.423   0.665
  -121.15    38.73    2008   1.815   1.469   0.318   0.107   0.211   0.000   0.000   0.000   0.000   0.126   0.032   1.047
  -121.15    38.73    2009   0.446   2.714   1.366   0.942   0.353   0.000   0.000   0.000   0.062   0.571   0.180   0.746
  -121.15    38.73    2010   1.146   1.462   1.410   2.467   0.840   0.023   0.000   0.000   0.000   0.837   0.747   1.738
  -121.15    38.73    2011   0.556   2.804   7.871   0.322   1.966   0.935   0.000   0.000   0.000   0.380   0.226   0.031
  -121.15    38.73    2012   1.416   0.853   7.859   4.885   0.085   0.000   0.000   0.000   0.000   0.624   2.884   1.738
  -121.15    38.73    2013   0.244   0.251   2.250   0.254   0.291   0.619   0.000   0.000   0.308   0.028   0.483   0.000
  -121.15    38.73    2014   0.145   6.543   3.034   0.845   0.163   0.000   0.000   0.000   0.188   0.519   0.644   2.142
  -121.15    38.73    2015   0.000   1.564   0.168   1.321   0.671   0.090   0.038   0.000   0.006   0.068   0.211   0.808
  -121.15    38.73    2016   1.470   0.548   4.242   1.067   0.280   0.000   0.000   0.000   0.000   1.848   0.899   0.833
  -121.15    38.73    2017   4.580   9.579   3.767   5.371   0.287   0.357   0.000   0.000   0.000   0.251   3.570   0.349
  -121.15    38.73    2018   2.876   1.063   8.450   3.477   0.915   0.000   0.000   0.000   0.000   0.000   2.550   1.710
  -121.15    38.73    2019   3.338   8.827   5.482   0.519   6.011   0.000   0.000   0.000   0.536   0.000   0.930   0.819
  -121.15    38.73    2020   1.561   0.000   5.717   5.055   1.867   0.111   0.000   0.000   0.000   0.000   1.033   1.811
  -121.15    38.73    2021   1.794   2.058   2.711   0.047   0.000   0.000   0.000   0.000   0.056   4.193   0.000   3.541
  -121.11    38.85    1979   0.319   1.166   2.775   1.570   0.514   0.000   0.254   0.027   0.046   0.312   0.227   0.436
  -121.11    38.85    1980   2.880   6.604   4.684   2.115   1.175   0.000   0.000   0.035   0.000   0.314   0.305   0.324
  -121.11    38.85    1981   2.225   1.571   8.312   1.342   1.044   0.000   0.000   0.000   0.617   1.790   4.296   2.984
  -121.11    38.85    1982   2.016   2.547   9.581   6.093   0.050   0.599   0.000   0.050   3.366   2.727   3.140   2.518
