      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est    Seed  HarvestPrescribed    LU_ch   Slow_h       NEE
  -121.15    38.73    1979  -0.113   0.011   0.197   0.000  -0.083   0.000    0.000     0.000    0.000    0.000   0.01199
  -121.15    38.73    1980  -0.256   0.026   0.143   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.08730
  -121.15    38.73    1981  -0.175   0.018   0.187   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02929
  -121.15    38.73    1982  -0.379   0.038   0.174   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.16710
  -121.15    38.73    1983  -0.402   0.040   0.169   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.19284
  -121.15    38.73    1984  -0.167   0.017   0.183   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.03219
  -121.15    38.73    1985  -0.100   0.010   0.212   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.12147
  -121.15    38.73    1986  -0.221   0.022   0.223   0.000  -0.098   0.000    0.000     0.000    0.000    0.000  -0.07428
  -121.15    38.73    1987  -0.075   0.008   0.212   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.14531
  -121.15    38.73    1988  -0.109   0.011   0.245   0.000  -0.099   0.000    0.000     0.000    0.000    0.000   0.04777
  -121.15    38.73    1989  -0.273   0.028   0.189   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.05633
  -121.15    38.73    1990  -0.252   0.025   0.206   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.02091
  -121.15    38.73    1991  -0.202   0.020   0.228   0.000  -0.005   0.000    0.000     0.000    0.000    0.000   0.04123
  -121.15    38.73    1992  -0.100   0.010   0.223   0.000  -0.094   0.000    0.000     0.000    0.000    0.000   0.03886
  -121.15    38.73    1993  -0.221   0.023   0.187   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.01250
  -121.15    38.73    1994  -0.173   0.017   0.203   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.04646
  -121.15    38.73    1995  -0.245   0.024   0.202   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.01975
  -121.15    38.73    1996  -0.228   0.023   0.204   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.00064
  -121.15    38.73    1997  -0.142   0.014   0.192   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.06256
  -121.15    38.73    1998  -0.366   0.037   0.183   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.14704
  -121.15    38.73    1999  -0.171   0.017   0.170   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01603
  -121.15    38.73    2000  -0.221   0.022   0.200   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.00019
  -121.15    38.73    2001  -0.174   0.017   0.181   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02454
  -121.15    38.73    2002  -0.189   0.019   0.179   0.000  -0.003   0.000    0.000     0.000    0.000    0.000   0.00595
  -121.15    38.73    2003  -0.174   0.017   0.168   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01144
  -121.15    38.73    2004  -0.131   0.013   0.175   0.000  -0.007   0.000    0.000     0.000    0.000    0.000   0.04993
  -121.15    38.73    2005  -0.316   0.032   0.178   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.10557
  -121.15    38.73    2006  -0.184   0.018   0.164   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00221
  -121.15    38.73    2007  -0.140   0.014   0.160   0.000  -0.003   0.000    0.000     0.000    0.000    0.000   0.03078
  -121.15    38.73    2008  -0.031   0.004   0.146   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.11915
  -121.15    38.73    2009  -0.154   0.015   0.170   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.02907
  -121.15    38.73    2010  -0.285   0.029   0.156   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.10050
  -121.15    38.73    2011  -0.344   0.034   0.152   0.000  -0.004   0.000    0.000     0.000    0.000    0.000  -0.16178
  -121.15    38.73    2012  -0.134   0.014   0.155   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03437
  -121.15    38.73    2013  -0.143   0.014   0.160   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.03090
  -121.15    38.73    2014  -0.142   0.014   0.168   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.03902
  -121.15    38.73    2015  -0.138   0.014   0.191   0.000  -0.003   0.000    0.000     0.000    0.000    0.000   0.06428
  -121.15    38.73    2016  -0.161   0.016   0.180   0.000  -0.107   0.000    0.000     0.000    0.000    0.000  -0.07149
  -121.15    38.73    2017  -0.350   0.036   0.150   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.16403
  -121.15    38.73    2018  -0.283   0.028   0.183   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.07193
  -121.15    38.73    2019  -0.346   0.035   0.179   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.13283
  -121.15    38.73    2020  -0.115   0.012   0.187   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08334
  -121.15    38.73    2021  -0.082   0.008   0.174   0.000  -0.003   0.000    0.000     0.000    0.000    0.000   0.09715
  -121.11    38.85    1979  -0.179   0.018   0.241   0.000  -0.102   0.000    0.000     0.000    0.000    0.000  -0.02225
  -121.11    38.85    1980  -0.331   0.034   0.189   0.000  -0.008   0.000    0.000     0.000    0.000    0.000  -0.11502
  -121.11    38.85    1981  -0.223   0.022   0.230   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02969
  -121.11    38.85    1982  -0.393   0.039   0.242   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.11151
  -121.11    38.85    1983  -0.367   0.037   0.221   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.10968
  -121.11    38.85    1984  -0.280   0.028   0.233   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01916
  -121.11    38.85    1985  -0.220   0.022   0.217   0.307   0.000   0.000    0.000     0.000    0.000    0.000   0.32618
  -121.11    38.85    1986  -0.280   0.028   0.236   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01631
  -121.11    38.85    1987  -0.122   0.013   0.223   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.11353
  -121.11    38.85    1988  -0.163   0.016   0.245   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.09829
  -121.11    38.85    1989  -0.319   0.032   0.238   0.000  -0.003   0.000    0.000     0.000    0.000    0.000  -0.05151
  -121.11    38.85    1990  -0.266   0.027   0.214   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.02567
  -121.11    38.85    1991  -0.233   0.023   0.216   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00594
  -121.11    38.85    1992  -0.147   0.015   0.223   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08993
  -121.11    38.85    1993  -0.295   0.029   0.221   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.04435
  -121.11    38.85    1994  -0.171   0.017   0.198   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04459
  -121.11    38.85    1995  -0.289   0.029   0.219   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.04110
  -121.11    38.85    1996  -0.268   0.027   0.227   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01403
  -121.11    38.85    1997  -0.183   0.018   0.202   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03781
  -121.11    38.85    1998  -0.326   0.033   0.208   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.08509
  -121.11    38.85    1999  -0.204   0.020   0.186   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00182
  -121.11    38.85    2000  -0.231   0.023   0.212   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00333
  -121.11    38.85    2001  -0.195   0.019   0.210   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03509
  -121.11    38.85    2002  -0.215   0.021   0.196   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00252
  -121.11    38.85    2003  -0.236   0.024   0.199   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01329
  -121.11    38.85    2004  -0.154   0.015   0.188   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05026
